# data3.csv — AUTO SWEEP RESULT 转换（N=40，10 Hz – 10000 Hz 对数扫频）
# 列: f_Hz, Re(Z)_ohm, Im(Z)_ohm；结构答案见 examples/ans.txt
10,585,-16270
11.94,554.3,-13640
14.25,525.2,-11420
17.01,508.1,-9560
20.31,473.8,-8013
24.24,457.5,-6719
28.94,439.6,-5630
34.55,417.6,-4715
41.25,205.6,-3965
49.24,237.3,-3301
58.78,477.1,-2731
70.17,374.9,-2292
83.77,370.6,-1908
100,362.3,-1584
119.4,385.1,-1301
142.5,357,-1072
170.1,358.9,-864.6
203.1,364.8,-684.6
242.4,364.4,-530.6
289.4,371,-389.9
345.5,383.9,-258.1
412.5,401,-135.8
492.4,428.7,-13.68
587.8,471.9,114.4
701.7,544.5,255.2
837.7,674.5,423.4
1000,943.3,627.2
1194,1571,780.6
1425,2797,-73.57
1701,1717,-1962
2031,484.3,-1560
2425,161.7,-1089
2895,64.72,-793.2
3455,29.67,-608.9
4124,15.95,-481
4923,9.109,-387.7
5877,6.761,-320.2
7018,4.539,-262
8377,3.138,-216.8
10000,2.496,-180.4
