# data1.csv — AUTO SWEEP RESULT 转换（N=40，10 Hz – 10000 Hz 对数扫频）
# 列: f_Hz, Re(Z)_ohm, Im(Z)_ohm；结构答案见 examples/ans.txt
10,9893,-637.4
11.94,9880,-758.4
14.25,9853,-904.4
17.01,9820,-1079
20.31,9767,-1271
24.24,9693,-1518
28.94,9601,-1794
34.55,9514,-2036
41.25,9298,-2384
49.24,8989,-2967
58.78,8668,-3333
70.17,8227,-3761
83.77,7658,-4198
100,6991,-4541
119.4,6262,-4743
142.5,5370,-4944
170.1,4484,-4944
203.1,3603,-4819
242.4,2878,-4502
289.4,2238,-4120
345.5,1644,-3724
412.5,1234,-3276
492.4,891.3,-2835
587.8,637.6,-2442
701.7,465.2,-2086
837.7,334.6,-1775
1000,239.2,-1504
1194,169.9,-1272
1425,119.8,-1072
1701,85.51,-899.1
2031,61.74,-755.1
2425,43.42,-634.8
2895,31.94,-533.3
3455,23.36,-448.3
4124,16.48,-376.8
4923,13.26,-320.4
5877,9.01,-267.1
7018,6.747,-223.8
8377,5.22,-187.8
10000,3.462,-158.2
